t,x,y,theta
1527988700.928355096,-83.666345648,99.7125138638,0.301426204374
1527990506.952925895,-83.7662554759,99.6885584835,0.268651637017
1527990507.552108309,-83.7874917682,99.6828337103,0.401631249971
1527990507.685853022,-83.7921497636,99.6844304696,0.580993864712
1527990507.752334470,-83.7923986107,99.6859176014,0.684316870847
1527990507.819290070,-83.7908926368,99.6890715967,0.803641431175
1527990507.886227534,-83.7934305075,99.6913692084,0.930991775328
1527990507.953031860,-83.7963095747,99.693332218,1.06189467998
1527990508.19848835,-83.794356082,99.693794111,1.19840919517
1527990508.86804411,-83.8016035458,99.6990546266,1.33433259094
1527990508.153448130,-83.8019837518,99.6996290284,1.47027190671
1527990508.219652789,-83.8022274234,99.7005546372,1.59768632996
1527990508.286190635,-83.8049958641,99.7015766422,1.73140583487
1527990508.353027671,-83.8067336187,99.7047165353,1.8639386685
1527990508.419619418,-83.8065985012,99.7056424424,1.99742063876
1527990508.486183300,-83.8110316911,99.7092098562,2.12065076907
1527990508.552787665,-83.8121051751,99.7090947482,2.24462900519
1527990508.619747689,-83.8086292924,99.7085436071,2.3821876284
1527990508.686699997,-83.8125150872,99.7092147632,2.52407918959
1527990508.754732918,-83.8124375124,99.7105269859,2.65768809357
1527990508.819904901,-83.8151860723,99.7102374143,2.77085785575
1527990508.953509348,-83.8169510137,99.7106821237,2.95176680365
1527990509.86908579,-83.8202689307,99.7103653092,3.07460157656
1527990509.286722958,-83.8171612945,99.7080396034,-3.09195530884
1527990509.619670595,-83.8173053997,99.7062005115,-2.97790861581
1527990513.352268317,-83.8162518886,99.7022324984,-2.86520760297
1527990514.285990448,-83.9172520343,99.6651414324,-2.80317969897
1527990514.552480610,-84.0145775534,99.6262137511,-2.79561083357
1527990514.752982712,-84.1091924575,99.5912597232,-2.79762397716
1527990514.952663651,-84.2160000954,99.5483441797,-2.80180245374
1527990515.153226573,-84.3486898723,99.5006262697,-2.80386598372
1527990515.285986121,-84.4412440246,99.4619580662,-2.80095959562
1527990515.419368607,-84.5467100668,99.423717521,-2.80563948812
1527990515.552508248,-84.6453528818,99.3833955216,-2.80663628495
1527990515.752660206,-84.762232542,99.3419932028,-2.81084045052
1527990515.952487182,-84.8740789519,99.2972009385,-2.81414935668
1527990516.219257292,-85.001899865,99.2539261245,-2.82391005338
1527990516.419562980,-85.1193734579,99.211423535,-2.8256162764
1527990516.618859852,-85.253976145,99.1700127431,-2.83053302305
1527990516.752134663,-85.3543746152,99.1387464813,-2.8364834225
1527990516.885447398,-85.4657251188,99.1058251794,-2.83879776331
1527990517.18666751,-85.5777283099,99.0738271386,-2.83459770475
1527990517.152111390,-85.6811014327,99.0421832722,-2.83246724374
1527990517.285421895,-85.7857698205,99.0195475869,-2.83457617092
1527990517.485381489,-85.9234640215,98.9761308381,-2.82146799007
1527990517.686111743,-86.0597248514,98.9419999641,-2.81243202992
1527990517.885944456,-86.1939345274,98.8979961803,-2.79684280558
1527990518.18777614,-86.2904162004,98.8724499164,-2.78485062277
1527990518.152062253,-86.3912316935,98.8305220694,-2.76621230034
1527990518.285240108,-86.4993827283,98.7880948559,-2.75635198556
1527990518.418566450,-86.5991094962,98.7423112233,-2.73696998079
1527990518.552046830,-86.6935460405,98.6967633547,-2.72975704502
1527990518.686016093,-86.7881830074,98.6566905504,-2.74802607473
1527990518.885211611,-86.9141247866,98.593259892,-2.78386147976
1527990519.84988808,-87.039810447,98.5444138246,-2.80001318084
1527990519.285776783,-87.1546756226,98.4937022958,-2.81998911622
1527990519.484665265,-87.2605462112,98.4525465939,-2.82074204413
1527990519.685497436,-87.353774432,98.4089419599,-2.76325938972
1527990519.951410559,-87.4707344464,98.3491152456,-2.64653800521
1527990520.151739240,-87.5457992348,98.2869353437,-2.50112106633
1527990520.285061184,-87.5916978913,98.2428021638,-2.39254995961
1527990520.418647837,-87.6259645935,98.1892261279,-2.28062220935
1527990520.551806757,-87.663854124,98.1327610083,-2.17270620712
1527990520.686096387,-87.6925607539,98.066107645,-2.06067899955
1527990520.818652764,-87.7173868596,98.002998731,-1.95574346678
1527990520.952051999,-87.7338193463,97.9312615712,-1.85304426928
1527990521.152447034,-87.7519379435,97.8310750178,-1.72397058674
1527990521.352328486,-87.7572702704,97.7244357966,-1.64199691415
1527990521.552048336,-87.7574297624,97.6088793438,-1.56466195241
1527990521.752219643,-87.7491216244,97.475496476,-1.48043793594
1527990521.952143131,-87.725114522,97.3187982079,-1.40854177082
1527990522.85865094,-87.7044879517,97.2082427942,-1.36438773685
1527990522.218653455,-87.6745204631,97.0884205341,-1.32146721374
1527990522.352331350,-87.6338516488,96.9563458388,-1.28209825251
1527990522.485452181,-87.593373651,96.82542444,-1.25996974997
1527990522.619166436,-87.5411931345,96.6817895596,-1.23960026886
